Mean: 3.099 ,Sigma: 0.08 ,Alpha: 2.6 ,Power: 1.9 ,mychsq: 976.98
Mean: 3.099 ,Sigma: 0.08 ,Alpha: 2.6 ,Power: 2 ,mychsq: 976.98
Mean: 3.099 ,Sigma: 0.08 ,Alpha: 2.6 ,Power: 2.1 ,mychsq: 976.98
Mean: 3.099 ,Sigma: 0.08 ,Alpha: 2.6 ,Power: 2.2 ,mychsq: 976.98
Mean: 3.099 ,Sigma: 0.08 ,Alpha: 2.6 ,Power: 2.3 ,mychsq: 976.98
Mean: 3.099 ,Sigma: 0.08 ,Alpha: 2.6 ,Power: 2.4 ,mychsq: 976.98
Mean: 3.099 ,Sigma: 0.08 ,Alpha: 2.7 ,Power: 0.1 ,mychsq: 976.98
Mean: 3.099 ,Sigma: 0.08 ,Alpha: 2.7 ,Power: 0.2 ,mychsq: 976.98
Mean: 3.099 ,Sigma: 0.08 ,Alpha: 2.7 ,Power: 0.3 ,mychsq: 976.98
Mean: 3.099 ,Sigma: 0.08 ,Alpha: 2.7 ,Power: 0.4 ,mychsq: 976.98
Mean: 3.099 ,Sigma: 0.08 ,Alpha: 2.7 ,Power: 0.5 ,mychsq: 976.98
Mean: 3.099 ,Sigma: 0.08 ,Alpha: 2.7 ,Power: 0.6 ,mychsq: 976.98
Mean: 3.099 ,Sigma: 0.08 ,Alpha: 2.7 ,Power: 0.7 ,mychsq: 976.98
Mean: 3.099 ,Sigma: 0.08 ,Alpha: 2.7 ,Power: 0.8 ,mychsq: 976.98
Mean: 3.099 ,Sigma: 0.08 ,Alpha: 2.7 ,Power: 0.9 ,mychsq: 976.98
Mean: 3.099 ,Sigma: 0.08 ,Alpha: 2.7 ,Power: 1 ,mychsq: 976.98
Mean: 3.099 ,Sigma: 0.08 ,Alpha: 2.7 ,Power: 1.1 ,mychsq: 976.98
Mean: 3.099 ,Sigma: 0.08 ,Alpha: 2.7 ,Power: 1.2 ,mychsq: 976.98
Mean: 3.099 ,Sigma: 0.08 ,Alpha: 2.7 ,Power: 1.3 ,mychsq: 976.98
Mean: 3.099 ,Sigma: 0.08 ,Alpha: 2.7 ,Power: 1.4 ,mychsq: 976.98
Mean: 3.099 ,Sigma: 0.08 ,Alpha: 2.7 ,Power: 1.5 ,mychsq: 976.98
Mean: 3.099 ,Sigma: 0.08 ,Alpha: 2.7 ,Power: 1.6 ,mychsq: 976.98
Mean: 3.099 ,Sigma: 0.08 ,Alpha: 2.7 ,Power: 1.7 ,mychsq: 976.98
Mean: 3.099 ,Sigma: 0.08 ,Alpha: 2.7 ,Power: 1.8 ,mychsq: 976.98
Mean: 3.099 ,Sigma: 0.08 ,Alpha: 2.7 ,Power: 1.9 ,mychsq: 976.98
Mean: 3.099 ,Sigma: 0.08 ,Alpha: 2.7 ,Power: 2 ,mychsq: 976.98
Mean: 3.099 ,Sigma: 0.08 ,Alpha: 2.7 ,Power: 2.1 ,mychsq: 976.98
Mean: 3.099 ,Sigma: 0.08 ,Alpha: 2.7 ,Power: 2.2 ,mychsq: 976.98
Mean: 3.099 ,Sigma: 0.08 ,Alpha: 2.7 ,Power: 2.3 ,mychsq: 976.98
Mean: 3.099 ,Sigma: 0.08 ,Alpha: 2.7 ,Power: 2.4 ,mychsq: 976.98
Mean: 3.099 ,Sigma: 0.08 ,Alpha: 2.8 ,Power: 0.1 ,mychsq: 976.98
Mean: 3.099 ,Sigma: 0.08 ,Alpha: 2.8 ,Power: 0.2 ,mychsq: 976.98
Mean: 3.099 ,Sigma: 0.08 ,Alpha: 2.8 ,Power: 0.3 ,mychsq: 976.98
Mean: 3.099 ,Sigma: 0.08 ,Alpha: 2.8 ,Power: 0.4 ,mychsq: 976.98
Mean: 3.099 ,Sigma: 0.08 ,Alpha: 2.8 ,Power: 0.5 ,mychsq: 976.98
Mean: 3.099 ,Sigma: 0.08 ,Alpha: 2.8 ,Power: 0.6 ,mychsq: 976.98
Mean: 3.099 ,Sigma: 0.08 ,Alpha: 2.8 ,Power: 0.7 ,mychsq: 976.98
Mean: 3.099 ,Sigma: 0.08 ,Alpha: 2.8 ,Power: 0.8 ,mychsq: 976.98
Mean: 3.099 ,Sigma: 0.08 ,Alpha: 2.8 ,Power: 0.9 ,mychsq: 976.98
Mean: 3.099 ,Sigma: 0.08 ,Alpha: 2.8 ,Power: 1 ,mychsq: 976.98
Mean: 3.099 ,Sigma: 0.08 ,Alpha: 2.8 ,Power: 1.1 ,mychsq: 976.98
Mean: 3.099 ,Sigma: 0.08 ,Alpha: 2.8 ,Power: 1.2 ,mychsq: 976.98
Mean: 3.099 ,Sigma: 0.08 ,Alpha: 2.8 ,Power: 1.3 ,mychsq: 976.98
Mean: 3.099 ,Sigma: 0.08 ,Alpha: 2.8 ,Power: 1.4 ,mychsq: 976.98
Mean: 3.099 ,Sigma: 0.08 ,Alpha: 2.8 ,Power: 1.5 ,mychsq: 976.98
Mean: 3.099 ,Sigma: 0.08 ,Alpha: 2.8 ,Power: 1.6 ,mychsq: 976.981
Mean: 3.099 ,Sigma: 0.08 ,Alpha: 2.8 ,Power: 1.7 ,mychsq: 976.98
Mean: 3.099 ,Sigma: 0.08 ,Alpha: 2.8 ,Power: 1.8 ,mychsq: 976.98
Mean: 3.099 ,Sigma: 0.08 ,Alpha: 2.8 ,Power: 1.9 ,mychsq: 976.98
Mean: 3.099 ,Sigma: 0.08 ,Alpha: 2.8 ,Power: 2 ,mychsq: 976.98
Mean: 3.099 ,Sigma: 0.08 ,Alpha: 2.8 ,Power: 2.1 ,mychsq: 976.98
Mean: 3.099 ,Sigma: 0.08 ,Alpha: 2.8 ,Power: 2.2 ,mychsq: 976.98
Mean: 3.099 ,Sigma: 0.08 ,Alpha: 2.8 ,Power: 2.3 ,mychsq: 976.98
Mean: 3.099 ,Sigma: 0.08 ,Alpha: 2.8 ,Power: 2.4 ,mychsq: 976.981
Mean: 3.099 ,Sigma: 0.08 ,Alpha: 2.9 ,Power: 0.1 ,mychsq: 976.98
Mean: 3.099 ,Sigma: 0.08 ,Alpha: 2.9 ,Power: 0.2 ,mychsq: 976.98
Mean: 3.099 ,Sigma: 0.08 ,Alpha: 2.9 ,Power: 0.3 ,mychsq: 976.98
Mean: 3.099 ,Sigma: 0.08 ,Alpha: 2.9 ,Power: 0.4 ,mychsq: 976.98
Mean: 3.099 ,Sigma: 0.08 ,Alpha: 2.9 ,Power: 0.5 ,mychsq: 976.98
Mean: 3.099 ,Sigma: 0.08 ,Alpha: 2.9 ,Power: 0.6 ,mychsq: 976.98
Mean: 3.099 ,Sigma: 0.08 ,Alpha: 2.9 ,Power: 0.7 ,mychsq: 976.98
Mean: 3.099 ,Sigma: 0.08 ,Alpha: 2.9 ,Power: 0.8 ,mychsq: 976.98
Mean: 3.099 ,Sigma: 0.08 ,Alpha: 2.9 ,Power: 0.9 ,mychsq: 976.98
Mean: 3.099 ,Sigma: 0.08 ,Alpha: 2.9 ,Power: 1 ,mychsq: 976.98
Mean: 3.099 ,Sigma: 0.08 ,Alpha: 2.9 ,Power: 1.1 ,mychsq: 976.98
Mean: 3.099 ,Sigma: 0.08 ,Alpha: 2.9 ,Power: 1.2 ,mychsq: 976.98
Mean: 3.099 ,Sigma: 0.08 ,Alpha: 2.9 ,Power: 1.3 ,mychsq: 976.98
Mean: 3.099 ,Sigma: 0.08 ,Alpha: 2.9 ,Power: 1.4 ,mychsq: 976.98
Mean: 3.099 ,Sigma: 0.08 ,Alpha: 2.9 ,Power: 1.5 ,mychsq: 976.98
Mean: 3.099 ,Sigma: 0.08 ,Alpha: 2.9 ,Power: 1.6 ,mychsq: 976.98
Mean: 3.099 ,Sigma: 0.08 ,Alpha: 2.9 ,Power: 1.7 ,mychsq: 976.98
Mean: 3.099 ,Sigma: 0.08 ,Alpha: 2.9 ,Power: 1.8 ,mychsq: 976.98
Mean: 3.099 ,Sigma: 0.08 ,Alpha: 2.9 ,Power: 1.9 ,mychsq: 976.98
Mean: 3.099 ,Sigma: 0.08 ,Alpha: 2.9 ,Power: 2 ,mychsq: 976.98
Mean: 3.099 ,Sigma: 0.08 ,Alpha: 2.9 ,Power: 2.1 ,mychsq: 976.981
Mean: 3.099 ,Sigma: 0.08 ,Alpha: 2.9 ,Power: 2.2 ,mychsq: 976.98
Mean: 3.099 ,Sigma: 0.08 ,Alpha: 2.9 ,Power: 2.3 ,mychsq: 976.98
Mean: 3.099 ,Sigma: 0.08 ,Alpha: 2.9 ,Power: 2.4 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.1 ,Power: 0.1 ,mychsq: 2318.18
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.1 ,Power: 0.2 ,mychsq: 2318.18
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.1 ,Power: 0.3 ,mychsq: 2318.18
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.1 ,Power: 0.4 ,mychsq: 2318.18
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.1 ,Power: 0.5 ,mychsq: 2318.18
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.1 ,Power: 0.6 ,mychsq: 2318.18
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.1 ,Power: 0.7 ,mychsq: 2318.18
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.1 ,Power: 0.8 ,mychsq: 2318.18
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.1 ,Power: 0.9 ,mychsq: 2318.18
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.1 ,Power: 1 ,mychsq: 2318.18
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.1 ,Power: 1.1 ,mychsq: 2318.18
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.1 ,Power: 1.2 ,mychsq: 2318.18
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.1 ,Power: 1.3 ,mychsq: 2318.18
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.1 ,Power: 1.4 ,mychsq: 2318.18
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.1 ,Power: 1.5 ,mychsq: 2318.18
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.1 ,Power: 1.6 ,mychsq: 2318.18
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.1 ,Power: 1.7 ,mychsq: 2318.18
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.1 ,Power: 1.8 ,mychsq: 2318.18
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.1 ,Power: 1.9 ,mychsq: 2318.18
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.1 ,Power: 2 ,mychsq: 2318.18
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.1 ,Power: 2.1 ,mychsq: 2318.17
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.1 ,Power: 2.2 ,mychsq: 2318.18
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.1 ,Power: 2.3 ,mychsq: 2318.18
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.1 ,Power: 2.4 ,mychsq: 2318.18
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.2 ,Power: 0.1 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.2 ,Power: 0.2 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.2 ,Power: 0.3 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.2 ,Power: 0.4 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.2 ,Power: 0.5 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.2 ,Power: 0.6 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.2 ,Power: 0.7 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.2 ,Power: 0.8 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.2 ,Power: 0.9 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.2 ,Power: 1 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.2 ,Power: 1.1 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.2 ,Power: 1.2 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.2 ,Power: 1.3 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.2 ,Power: 1.4 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.2 ,Power: 1.5 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.2 ,Power: 1.6 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.2 ,Power: 1.7 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.2 ,Power: 1.8 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.2 ,Power: 1.9 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.2 ,Power: 2 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.2 ,Power: 2.1 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.2 ,Power: 2.2 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.2 ,Power: 2.3 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.2 ,Power: 2.4 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.3 ,Power: 0.1 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.3 ,Power: 0.2 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.3 ,Power: 0.3 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.3 ,Power: 0.4 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.3 ,Power: 0.5 ,mychsq: 976.981
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.3 ,Power: 0.6 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.3 ,Power: 0.7 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.3 ,Power: 0.8 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.3 ,Power: 0.9 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.3 ,Power: 1 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.3 ,Power: 1.1 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.3 ,Power: 1.2 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.3 ,Power: 1.3 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.3 ,Power: 1.4 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.3 ,Power: 1.5 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.3 ,Power: 1.6 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.3 ,Power: 1.7 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.3 ,Power: 1.8 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.3 ,Power: 1.9 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.3 ,Power: 2 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.3 ,Power: 2.1 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.3 ,Power: 2.2 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.3 ,Power: 2.3 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.3 ,Power: 2.4 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.4 ,Power: 0.1 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.4 ,Power: 0.2 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.4 ,Power: 0.3 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.4 ,Power: 0.4 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.4 ,Power: 0.5 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.4 ,Power: 0.6 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.4 ,Power: 0.7 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.4 ,Power: 0.8 ,mychsq: 976.981
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.4 ,Power: 0.9 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.4 ,Power: 1 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.4 ,Power: 1.1 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.4 ,Power: 1.2 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.4 ,Power: 1.3 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.4 ,Power: 1.4 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.4 ,Power: 1.5 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.4 ,Power: 1.6 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.4 ,Power: 1.7 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.4 ,Power: 1.8 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.4 ,Power: 1.9 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.4 ,Power: 2 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.4 ,Power: 2.1 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.4 ,Power: 2.2 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.4 ,Power: 2.3 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.4 ,Power: 2.4 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.5 ,Power: 0.1 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.5 ,Power: 0.2 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.5 ,Power: 0.3 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.5 ,Power: 0.4 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.5 ,Power: 0.5 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.5 ,Power: 0.6 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.5 ,Power: 0.7 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.5 ,Power: 0.8 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.5 ,Power: 0.9 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.5 ,Power: 1 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.5 ,Power: 1.1 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.5 ,Power: 1.2 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.5 ,Power: 1.3 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.5 ,Power: 1.4 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.5 ,Power: 1.5 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.5 ,Power: 1.6 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.5 ,Power: 1.7 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.5 ,Power: 1.8 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.5 ,Power: 1.9 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.5 ,Power: 2 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.5 ,Power: 2.1 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.5 ,Power: 2.2 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.5 ,Power: 2.3 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.5 ,Power: 2.4 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.6 ,Power: 0.1 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.6 ,Power: 0.2 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.6 ,Power: 0.3 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.6 ,Power: 0.4 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.6 ,Power: 0.5 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.6 ,Power: 0.6 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.6 ,Power: 0.7 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.6 ,Power: 0.8 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.6 ,Power: 0.9 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.6 ,Power: 1 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.6 ,Power: 1.1 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.6 ,Power: 1.2 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.6 ,Power: 1.3 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.6 ,Power: 1.4 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.6 ,Power: 1.5 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.6 ,Power: 1.6 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.6 ,Power: 1.7 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.6 ,Power: 1.8 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.6 ,Power: 1.9 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.6 ,Power: 2 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.6 ,Power: 2.1 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.6 ,Power: 2.2 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.6 ,Power: 2.3 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.6 ,Power: 2.4 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.7 ,Power: 0.1 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.7 ,Power: 0.2 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.7 ,Power: 0.3 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.7 ,Power: 0.4 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.7 ,Power: 0.5 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.7 ,Power: 0.6 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.7 ,Power: 0.7 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.7 ,Power: 0.8 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.7 ,Power: 0.9 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.7 ,Power: 1 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.7 ,Power: 1.1 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.7 ,Power: 1.2 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.7 ,Power: 1.3 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.7 ,Power: 1.4 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.7 ,Power: 1.5 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.7 ,Power: 1.6 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.7 ,Power: 1.7 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.7 ,Power: 1.8 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.7 ,Power: 1.9 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.7 ,Power: 2 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.7 ,Power: 2.1 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.7 ,Power: 2.2 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.7 ,Power: 2.3 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.7 ,Power: 2.4 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.8 ,Power: 0.1 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.8 ,Power: 0.2 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.8 ,Power: 0.3 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.8 ,Power: 0.4 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.8 ,Power: 0.5 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.8 ,Power: 0.6 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.8 ,Power: 0.7 ,mychsq: 976.98
Mean: 3.1 ,Sigma: 0.01 ,Alpha: 0.8 ,Power: 0.8 ,mychsq: 976.98
